,mean frequency,label
1435,11.0,1
1436,7.5,1
1437,16.5,1
1438,5.5,1
1439,10.0,1
1440,14.5,1
1441,9.0,1
1442,5.0,1
1443,9.0,1
1444,9.5,1
1445,3.0,1
1446,6.0,1
1447,7.5,1
1448,6.0,1
1449,4.0,1
1450,7.0,1
1451,5.5,1
1452,9.0,1
1453,16.5,1
1454,12.5,1
1455,3.5,1
1456,4.5,1
1457,3.0,1
1458,1.0,1
1459,2.0,1
1460,11.0,1
1461,8.5,1
1462,9.5,1
1463,7.0,1
1464,5.5,1
1465,4.5,1
1466,1.0,1
1467,3.5,1
1468,10.5,1
1469,7.5,1
1470,2.5,1
1471,4.0,1
1472,7.0,1
1473,6.0,1
1474,6.5,1
1475,10.5,1
1476,8.0,1
1477,9.0,1
1478,1.5,1
1479,1.5,1
1480,15.5,1
1481,6.5,1
1482,9.0,1
1483,4.5,1
1484,9.5,1
1485,3.0,1
1486,5.0,1
1487,1.0,1
1488,16.5,1
1489,5.5,1
1490,8.0,1
1491,1.5,1
1492,3.5,1
1493,4.5,1
1494,8.0,1
1495,11.5,1
1496,3.0,1
1497,9.5,1
1498,5.5,1
1499,4.5,1
1500,13.0,1
1501,9.5,1
1502,4.5,1
1503,7.5,1
1504,1.0,1
1505,1.5,1
1506,5.5,1
1507,1.5,1
1508,2.5,1
1509,1.5,1
1510,8.0,1
1511,16.0,1
1512,1.5,1
1513,4.0,1
1514,2.5,1
1515,18.5,1
1516,10.0,1
1517,8.5,1
1518,0.5,1
1519,6.5,1
1520,5.5,1
1521,18.5,1
1522,10.5,1
1523,1.5,1
1524,7.5,1
1525,8.0,1
1526,9.5,1
1527,5.5,1
1528,5.5,1
1529,6.5,1
1530,7.0,1
1531,5.5,1
1532,11.0,1
1533,8.0,1
1534,5.5,1
1535,7.5,1
1536,7.5,1
1537,6.5,1
1538,1.5,1
1539,6.0,1
1540,3.5,1
1541,8.5,1
1542,6.0,1
1543,2.5,1
1544,3.5,1
1545,3.5,1
1546,1.5,1
1547,1.0,1
1548,1.5,1
1549,5.0,1
1550,8.5,1
1551,7.5,1
1552,5.0,1
1553,8.0,1
1554,1.5,1
1555,7.5,1
1556,6.5,1
1557,5.0,1
1558,3.5,1
1559,5.5,1
1560,3.0,1
1561,4.0,1
1562,3.5,1
1563,7.5,1
1564,5.0,1
1565,5.0,1
1566,0.5,1
1567,2.5,1
1568,3.5,1
1569,4.0,1
1570,1.0,1
1571,5.0,1
1572,8.0,1
1573,7.5,1
1574,1.5,1
1575,3.0,1
1576,2.5,1
1577,6.5,1
1578,14.5,1
1579,7.0,1
1580,2.5,1
1581,2.5,1
1582,2.0,1
1583,4.5,1
1584,8.5,1
1585,8.5,1
1586,3.0,1
1587,11.5,1
1588,4.0,1
1589,5.0,1
1590,5.5,1
1591,2.0,1
1592,0.5,1
1593,2.5,1
1594,8.0,1
1595,7.5,1
1596,3.5,1
1597,4.5,1
1598,3.5,1
1599,15.5,1
1600,2.5,1
1601,4.5,1
1602,1.5,1
1603,2.5,1
1604,10.5,1
1605,3.5,1
1606,9.0,1
1607,3.0,1
1608,4.5,1
1609,2.5,1
1610,3.0,1
1611,3.5,1
1612,6.5,1
1613,7.5,1
1614,3.0,1
1615,9.0,1
1616,10.5,1
1617,4.5,1
1618,10.0,1
1619,6.5,1
1620,5.5,1
1621,6.5,1
1622,0.5,1
1623,2.0,1
1624,6.5,1
1625,5.5,1
1626,3.5,1
1627,3.0,1
1628,9.0,1
1629,6.0,1
1630,1.0,1
1631,9.0,1
1632,8.5,1
1633,1.0,1
1634,11.0,1
1635,0.5,1
1636,3.5,1
1637,1.0,1
1638,1.5,1
1639,7.5,1
1640,4.5,1
1641,1.5,1
1642,3.0,1
1643,7.0,1
1644,5.0,1
1645,4.0,1
1646,12.0,1
1647,9.0,1
1648,3.0,1
1649,10.5,1
1650,6.0,1
1651,1.5,1
1652,13.5,1
1653,5.0,1
1654,2.5,1
1655,4.5,1
1656,10.0,1
1657,6.5,1
1658,4.5,1
1659,0.5,1
1660,7.5,1
